image,digital_annotation,handwritten_annotation,forged,forgery_annotations,filename,size,name,x,y,w,h,modified_area,entity,original_area
X00016469622.png,1,1,1,"{""filename"": ""X00016469622.png"", ""size"": 230726, ""regions"": [{""shape_attributes"": {""name"": ""rect"", ""x"": 248, ""y"": 459, ""width"": 13, ""height"": 18}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Product"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 405, ""y"": 342, ""width"": 13, ""height"": 17}, ""region_attributes"": {""Modified area"": {""None"": ""True""}, ""Original area"": ""yes"", ""Entity type"": ""Metadata""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 345, ""y"": 461, ""width"": 9, ""height"": 16}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Product"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 347, ""y"": 510, ""width"": 8, ""height"": 16}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Product"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 344, ""y"": 547, ""width"": 10, ""height"": 16}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Total/payment"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 343, ""y"": 657, ""width"": 12, ""height"": 18}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Total/payment"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 266, ""y"": 812, ""width"": 12, ""height"": 20}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Total/payment"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 268, ""y"": 845, ""width"": 9, ""height"": 17}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Total/payment"", ""Original area"": ""no""}}], ""file_attributes"": {""Software used"": ""paint""}}",X00016469622.png,230726,"['rect', 'rect', 'rect', 'rect', 'rect', 'rect', 'rect', 'rect']","[248, 405, 345, 347, 344, 343, 266, 268]","[459, 342, 461, 510, 547, 657, 812, 845]","[13, 13, 9, 8, 10, 12, 12, 9]","[18, 17, 16, 16, 16, 18, 20, 17]","[{'CPI': 'True'}, {'None': 'True'}, {'CPI': 'True'}, {'CPI': 'True'}, {'CPI': 'True'}, {'CPI': 'True'}, {'CPI': 'True'}, {'CPI': 'True'}]","['Product', 'Metadata', 'Product', 'Product', 'Total/payment', 'Total/payment', 'Total/payment', 'Total/payment']","['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
X00016469623.png,1,1,0,0,,,[],[],[],[],[],[],[],[]
X00016469670.png,1,1,0,0,,,[],[],[],[],[],[],[],[]
X00016469671.png,1,1,0,0,,,[],[],[],[],[],[],[],[]
X00016469672.png,1,1,0,0,,,[],[],[],[],[],[],[],[]
X51005200938.png,0,1,0,0,,,[],[],[],[],[],[],[],[]
X51005230617.png,0,1,1,"{""filename"": ""X51005230617.png"", ""size"": 796726, ""regions"": [{""shape_attributes"": {""name"": ""rect"", ""x"": 449, ""y"": 1043, ""width"": 30, ""height"": 32}, ""region_attributes"": {""Modified area"": {""CPI"": ""True"", ""CUT"": ""True""}, ""Entity type"": ""Total/payment"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 464, ""y"": 814, ""width"": 27, ""height"": 32}, ""region_attributes"": {""Modified area"": {""None"": ""True""}, ""Original area"": ""yes"", ""Entity type"": ""Product""}}], ""file_attributes"": {""Software used"": ""paint3d""}}",X51005230617.png,796726,"['rect', 'rect']","[449, 464]","[1043, 814]","[30, 27]","[32, 32]","[{'CPI': 'True', 'CUT': 'True'}, {'None': 'True'}]","['Total/payment', 'Product']","['no', 'yes']"
X51005230621.png,0,0,0,0,,,[],[],[],[],[],[],[],[]
X51005230648.png,0,1,0,0,,,[],[],[],[],[],[],[],[]
X51005230659.png,0,0,0,0,,,[],[],[],[],[],[],[],[]
X51005255805.png,0,0,0,0,,,[],[],[],[],[],[],[],[]
X51005268200.png,0,1,0,0,,,[],[],[],[],[],[],[],[]
X51005268262.png,0,0,0,0,,,[],[],[],[],[],[],[],[]
X51005268400.png,0,0,0,0,,,[],[],[],[],[],[],[],[]
X51005268472.png,0,0,0,0,,,[],[],[],[],[],[],[],[]
X51005301659.png,0,0,0,0,,,[],[],[],[],[],[],[],[]
X51005301661.png,0,0,0,0,,,[],[],[],[],[],[],[],[]
X51005301666.png,0,0,0,0,,,[],[],[],[],[],[],[],[]
X51005301667.png,0,0,0,0,,,[],[],[],[],[],[],[],[]
X51005303661.png,0,0,0,0,,,[],[],[],[],[],[],[],[]
X51005306399.png,0,1,0,0,,,[],[],[],[],[],[],[],[]
X51005337867.png,0,1,0,0,,,[],[],[],[],[],[],[],[]
X51005361895.png,0,1,0,0,,,[],[],[],[],[],[],[],[]
X51005361897.png,0,1,0,0,,,[],[],[],[],[],[],[],[]
X51005361900.png,0,1,0,0,,,[],[],[],[],[],[],[],[]
X51005361906.png,0,1,1,"{""filename"": ""X51005361906.png"", ""size"": 3881311, ""regions"": [{""shape_attributes"": {""name"": ""rect"", ""x"": 1298, ""y"": 592, ""width"": 13, ""height"": 18}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Metadata"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 1288, ""y"": 593, ""width"": 7, ""height"": 18}, ""region_attributes"": {""Modified area"": {""None"": ""True""}, ""Entity type"": ""Metadata"", ""Original area"": ""yes""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 1286, ""y"": 591, ""width"": 8, ""height"": 20}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Metadata"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 1298, ""y"": 592, ""width"": 14, ""height"": 19}, ""region_attributes"": {""Modified area"": {""CPI"": ""False"", ""None"": ""True""}, ""Entity type"": ""Metadata"", ""Original area"": ""yes""}}], ""file_attributes"": {""Software used"": ""gimp""}}",X51005361906.png,3881311,"['rect', 'rect', 'rect', 'rect']","[1298, 1288, 1286, 1298]","[592, 593, 591, 592]","[13, 7, 8, 14]","[18, 18, 20, 19]","[{'CPI': 'True'}, {'None': 'True'}, {'CPI': 'True'}, {'CPI': 'False', 'None': 'True'}]","['Metadata', 'Metadata', 'Metadata', 'Metadata']","['no', 'yes', 'no', 'yes']"
X51005361907.png,0,1,0,0,,,[],[],[],[],[],[],[],[]
X51005361908.png,0,1,0,0,,,[],[],[],[],[],[],[],[]
X51005361912.png,0,1,0,0,,,[],[],[],[],[],[],[],[]
X51005361923.png,0,0,0,0,,,[],[],[],[],[],[],[],[]
X51005361946.png,0,1,1,"{""filename"": ""X51005361946.png"", ""size"": 7760267, ""regions"": [{""shape_attributes"": {""name"": ""rect"", ""x"": 1149, ""y"": 842, ""width"": 21, ""height"": 32}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Product"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 1243, ""y"": 841, ""width"": 22, ""height"": 33}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Product"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 1278, ""y"": 953, ""width"": 16, ""height"": 33}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Total/payment"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 1094, ""y"": 1095, ""width"": 83, ""height"": 30}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Total/payment"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 1279, ""y"": 1093, ""width"": 32, ""height"": 32}, ""region_attributes"": {""Modified area"": {""CPI"": ""True""}, ""Entity type"": ""Total/payment"", ""Original area"": ""no""}}, {""shape_attributes"": {""name"": ""rect"", ""x"": 1275, ""y"": 1011, ""width"": 16, ""height"": 30}, ""region_attributes"": {""Modified area"": {""CUT"": ""True""}, ""Entity type"": ""Total/payment"", ""Original area"": ""no""}}], ""file_attributes"": {""Software used"": ""gimp""}}",X51005361946.png,7760267,"['rect', 'rect', 'rect', 'rect', 'rect', 'rect']","[1149, 1243, 1278, 1094, 1279, 1275]","[842, 841, 953, 1095, 1093, 1011]","[21, 22, 16, 83, 32, 16]","[32, 33, 33, 30, 32, 30]","[{'CPI': 'True'}, {'CPI': 'True'}, {'CPI': 'True'}, {'CPI': 'True'}, {'CPI': 'True'}, {'CUT': 'True'}]","['Product', 'Product', 'Total/payment', 'Total/payment', 'Total/payment', 'Total/payment']","['no', 'no', 'no', 'no', 'no', 'no']"
X51005361950.png,0,1,0,0,,,[],[],[],[],[],[],[],[]
